CustomerID,Name,Age,Salary ($),Gender,Marital Status,Education,Loan Approval,Zip Code,Satisfaction Score
177,Customer_177,30,41000,Male,Married,Bachelor,No,31565,4
178,Customer_178,18,46000,Male,Married,Bachelor,No,22376,5
179,Customer_179,51,125000,Male,Single,Master,Yes,91097,3
180,Customer_180,65,41000,Male,Married,PhD,Yes,55744,5
181,Customer_181,35,63000,Male,Divorced,PhD,Yes,68204,3
182,Customer_182,59,73000,Female,Divorced,Master,No,72885,2
183,Customer_183,31,97000,Female,Single,Bachelor,No,36913,5
184,Customer_184,65,132000,Female,Divorced,Master,No,72650,2
185,Customer_185,47,112000,Female,Married,PhD,Yes,87843,2
186,Customer_186,47,66000,Female,Married,Master,No,78206,2
187,Customer_187,50,69000,Female,Single,Master,No,88810,5
188,Customer_188,17,58000,Female,Married,High School,No,78811,4
189,Customer_189,23,135000,Male,Single,High School,No,29970,1
190,Customer_190,34,90000,Male,Married,PhD,Yes,47173,1
191,Customer_191,40,151000,Male,Married,PhD,No,46992,4
192,Customer_192,56,107000,Female,Married,PhD,Yes,43984,4
193,Customer_193,18,99000,Male,Single,Master,No,14470,4
194,Customer_194,67,130000,Female,Single,High School,Yes,62287,1
195,Customer_195,21,45000,Female,Married,Master,No,89892,2
196,Customer_196,65,133000,Female,Married,Master,No,66875,2
197,Customer_197,35,28000,Male,Married,Bachelor,No,27539,4
198,Customer_198,51,133000,Male,Divorced,High School,Yes,36606,2
199,Customer_199,44,67000,Female,Single,High School,No,16816,5
200,Customer_200,19,111000,Male,Married,Bachelor,No,54678,2
201,Customer_201,73,59000,Female,Married,High School,No,89939,3
202,Customer_202,54,29000,Female,Divorced,PhD,No,72711,5
203,Customer_203,62,74000,Female,Married,Master,Yes,23781,1
204,Customer_204,53,183000,Male,Single,High School,Yes,41638,2
205,Customer_205,45,22000,Female,Married,Bachelor,Yes,33590,1
206,Customer_206,34,58000,Female,Divorced,Master,Yes,36180,4
207,Customer_207,36,33000,Male,Married,PhD,No,42841,4
208,Customer_208,57,138000,Female,Divorced,PhD,No,74814,3
209,Customer_209,28,129000,Male,Single,PhD,No,85936,1
210,Customer_210,46,97000,Female,Divorced,Bachelor,Yes,37660,4
211,Customer_211,47,30000,Male,Divorced,Bachelor,Yes,65123,5
212,Customer_212,34,119000,Female,Single,Master,No,38658,5
213,Customer_213,59,94000,Male,Single,Bachelor,No,98863,1
214,Customer_214,21,114000,Male,Single,Bachelor,Yes,22456,1
215,Customer_215,62,96000,Female,Married,Bachelor,Yes,90661,1
216,Customer_216,71,87000,Male,Married,High School,Yes,86887,5
217,Customer_217,34,94000,Male,Married,High School,Yes,41670,5
218,Customer_218,48,122000,Female,Married,Master,Yes,11679,5
219,Customer_219,63,95000,Female,Single,PhD,Yes,44392,3
220,Customer_220,42,60000,Female,Married,PhD,Yes,90830,5
221,Customer_221,26,111000,Male,Divorced,Bachelor,No,65234,3
222,Customer_222,51,115000,Male,Single,High School,No,78192,2
223,Customer_223,38,66000,Female,Divorced,Master,Yes,65224,4
224,Customer_224,22,91000,Female,Married,PhD,Yes,79999,5
225,Customer_225,46,133000,Male,Single,High School,Yes,93215,3
226,Customer_226,67,137000,Female,Married,Bachelor,Yes,91576,4
227,Customer_227,26,34000,Male,Single,PhD,No,78632,2
228,Customer_228,66,126000,Male,Divorced,Bachelor,No,66941,1
229,Customer_229,23,65000,Female,Divorced,High School,No,57820,1
230,Customer_230,28,141000,Female,Married,PhD,Yes,62055,4
231,Customer_231,54,113000,Male,Divorced,PhD,No,68612,5
232,Customer_232,28,102000,Male,Single,Master,Yes,15275,2
233,Customer_233,54,52000,Male,Divorced,High School,Yes,93871,2
234,Customer_234,38,101000,Male,Divorced,Master,No,50673,2
235,Customer_235,51,82000,Male,Single,Bachelor,Yes,82338,5
236,Customer_236,42,152000,Male,Married,Master,No,46802,1
237,Customer_237,35,134000,Male,Married,PhD,No,33846,3
238,Customer_238,70,94000,Male,Single,Master,No,21817,5
239,Customer_239,69,52000,Male,Married,PhD,Yes,23955,3
240,Customer_240,65,93000,Female,Divorced,PhD,No,34256,3
241,Customer_241,38,35000,Male,Married,Bachelor,No,77395,1
242,Customer_242,47,113000,Male,Married,High School,Yes,65872,1
243,Customer_243,34,40000,Male,Divorced,PhD,Yes,96053,5
244,Customer_244,18,82000,Male,Married,Master,Yes,50032,5
245,Customer_245,56,92000,Male,Single,PhD,Yes,60959,4
246,Customer_246,55,89000,Female,Single,Bachelor,No,53662,5
247,Customer_247,32,113000,Male,Divorced,Bachelor,Yes,56403,2
248,Customer_248,46,113000,Female,Married,Master,Yes,38607,1
249,Customer_249,28,118000,Female,Married,Bachelor,Yes,56448,2
250,Customer_250,30,115000,Male,Divorced,High School,No,64573,1
251,Customer_251,30,51000,Male,Single,Bachelor,No,46734,1
252,Customer_252,31,118000,Female,Married,Bachelor,Yes,71656,3
253,Customer_253,50,106000,Male,Single,Bachelor,Yes,89070,3
254,Customer_254,61,37000,Male,Married,Master,No,50455,4
255,Customer_255,57,174000,Male,Married,Master,Yes,90129,1
256,Customer_256,25,66000,Female,Married,High School,Yes,26050,4
257,Customer_257,52,92000,Female,Divorced,Bachelor,No,25787,2
258,Customer_258,34,167000,Female,Married,Bachelor,Yes,69687,2
259,Customer_259,57,132000,Male,Married,Master,Yes,12269,1
260,Customer_260,43,70000,Female,Single,High School,Yes,32522,1
261,Customer_261,21,142000,Female,Divorced,Master,No,48874,3
262,Customer_262,62,56000,Male,Married,Bachelor,No,22415,4
263,Customer_263,75,45000,Female,Single,High School,No,11737,4
264,Customer_264,62,100000,Male,Single,High School,No,53559,4
265,Customer_265,21,70000,Female,Divorced,Bachelor,Yes,81875,4
266,Customer_266,29,43000,Male,Divorced,High School,Yes,83739,2
267,Customer_267,52,60000,Male,Single,PhD,Yes,54309,5
268,Customer_268,48,29000,Male,Divorced,PhD,Yes,13600,1
269,Customer_269,28,109000,Female,Married,PhD,No,26203,2
270,Customer_270,53,97000,Male,Single,High School,No,38001,1
271,Customer_271,50,109000,Female,Single,High School,No,57293,2
272,Customer_272,63,47000,Female,Divorced,PhD,Yes,88383,2
273,Customer_273,17,37000,Male,Married,Master,No,37288,2
274,Customer_274,46,41000,Male,Married,High School,No,78846,5
275,Customer_275,31,36000,Male,Single,PhD,No,41524,5
276,Customer_276,51,91000,Female,Divorced,Bachelor,Yes,81926,1
277,Customer_277,27,96000,Male,Married,Master,Yes,14040,4
278,Customer_278,64,139000,Female,Single,PhD,No,96247,1
279,Customer_279,52,29000,Female,Single,Master,No,16630,5
280,Customer_280,39,94000,Female,Married,Bachelor,Yes,99792,2
281,Customer_281,52,113000,Male,Married,High School,No,60641,4
282,Customer_282,36,41000,Male,Single,PhD,No,81335,1
283,Customer_283,46,160000,Female,Divorced,High School,Yes,14753,1
284,Customer_284,31,26000,Male,Divorced,PhD,No,18814,5
285,Customer_285,39,98000,Male,Married,High School,No,81065,4
286,Customer_286,38,51000,Female,Divorced,Master,No,82824,5
287,Customer_287,66,96000,Male,Divorced,High School,No,18213,2
288,Customer_288,72,35000,Male,Single,Master,Yes,61066,2
289,Customer_289,29,36000,Female,Divorced,Master,Yes,98150,4
290,Customer_290,18,107000,Male,Divorced,Master,No,25631,2
291,Customer_291,40,83000,Male,Single,Bachelor,No,71544,5
292,Customer_292,63,90000,Male,Single,High School,Yes,86123,1
293,Customer_293,38,133000,Female,Married,PhD,No,90749,5
294,Customer_294,20,128000,Male,Single,Master,No,11101,1
295,Customer_295,20,140000,Male,Married,Master,No,85466,4
296,Customer_296,67,45000,Female,Divorced,High School,No,47173,1
297,Customer_297,31,125000,Female,Single,Bachelor,Yes,11014,3
298,Customer_298,34,57000,Male,Single,PhD,Yes,37478,1
299,Customer_299,45,90000,Female,Single,Bachelor,No,79973,1
300,Customer_300,41,36000,Male,Divorced,Master,Yes,87745,5
301,Customer_301,38,89000,Female,Divorced,Master,No,77341,4
302,Customer_302,19,68000,Male,Single,High School,No,19097,3
303,Customer_303,22,39000,Female,Single,PhD,Yes,57459,5
304,Customer_304,64,152000,Female,Married,Master,No,20386,4
305,Customer_305,43,136000,Female,Divorced,High School,No,63317,4
306,Customer_306,38,47000,Male,Divorced,High School,No,66279,2
307,Customer_307,35,71000,Male,Divorced,Master,Yes,16063,5
308,Customer_308,42,73000,Female,Married,High School,No,35932,5
309,Customer_309,62,136000,Male,Divorced,Master,No,64878,4
310,Customer_310,21,79000,Female,Married,Bachelor,No,52430,4
311,Customer_311,37,32000,Male,Married,PhD,Yes,68689,4
312,Customer_312,50,50000,Male,Single,High School,Yes,67723,4
313,Customer_313,53,93000,Female,Single,High School,Yes,90388,4
314,Customer_314,38,43000,Male,Married,Bachelor,Yes,49584,1
315,Customer_315,24,134000,Male,Married,PhD,Yes,48980,2
316,Customer_316,30,179000,Male,Single,Bachelor,No,20017,2
317,Customer_317,61,101000,Male,Divorced,Bachelor,No,46347,1
318,Customer_318,42,33000,Male,Married,Bachelor,Yes,61531,2
319,Customer_319,67,130000,Female,Married,High School,Yes,61021,1
320,Customer_320,44,53000,Female,Single,High School,No,71851,1
321,Customer_321,52,83000,Male,Married,Bachelor,Yes,46877,1
322,Customer_322,51,51000,Male,Single,PhD,No,55614,4
323,Customer_323,32,38000,Female,Single,Master,No,80206,1
324,Customer_324,72,49000,Female,Married,Master,No,98778,2
325,Customer_325,40,145000,Female,Divorced,PhD,Yes,70184,1
326,Customer_326,44,41000,Male,Married,High School,Yes,79619,3
327,Customer_327,27,46000,Female,Single,Master,No,62829,2
328,Customer_328,66,95000,Female,Single,Bachelor,Yes,54520,1
329,Customer_329,63,88000,Male,Divorced,Bachelor,Yes,21182,3
330,Customer_330,42,33000,Male,Divorced,Master,Yes,85556,3
331,Customer_331,39,70000,Female,Married,Master,Yes,40806,3
332,Customer_332,45,76000,Female,Single,High School,Yes,29463,4
333,Customer_333,19,160000,Female,Married,High School,Yes,83552,5
334,Customer_334,39,109000,Male,Single,Master,No,88250,1
335,Customer_335,19,89000,Female,Single,Master,Yes,20881,2
336,Customer_336,35,185000,Male,Divorced,PhD,Yes,49475,3
337,Customer_337,25,74000,Male,Single,Bachelor,No,68686,3
338,Customer_338,40,91000,Female,Married,PhD,Yes,72727,2
339,Customer_339,19,81000,Male,Single,Master,Yes,67421,4
340,Customer_340,56,30000,Male,Divorced,PhD,Yes,48819,4
341,Customer_341,35,120000,Male,Married,High School,Yes,70972,2
342,Customer_342,50,109000,Male,Married,PhD,Yes,35556,3
343,Customer_343,38,152000,Female,Divorced,High School,Yes,68413,1
344,Customer_344,25,88000,Male,Single,Bachelor,Yes,85851,3
345,Customer_345,19,144000,Female,Single,Master,No,75053,4
346,Customer_346,56,143000,Male,Divorced,PhD,Yes,96256,4
347,Customer_347,54,57000,Male,Divorced,Bachelor,Yes,36333,1
348,Customer_348,34,55000,Male,Married,PhD,No,54669,2
349,Customer_349,40,166000,Male,Married,Master,Yes,77983,2
350,Customer_350,42,107000,Male,Divorced,Bachelor,No,33783,2
351,Customer_351,19,40000,Female,Married,Master,Yes,99308,4
352,Customer_352,46,97000,Male,Divorced,Bachelor,No,13995,4
353,Customer_353,20,175000,Female,Divorced,Master,Yes,29090,3
354,Customer_354,38,43000,Female,Divorced,Bachelor,No,50932,4
355,Customer_355,52,69000,Male,Single,Bachelor,Yes,72238,3
356,Customer_356,35,80000,Male,Married,High School,No,86080,1
357,Customer_357,53,82000,Male,Single,High School,No,12269,5
358,Customer_358,37,88000,Male,Divorced,Master,No,37199,4
359,Customer_359,34,76000,Female,Divorced,High School,Yes,21636,1
360,Customer_360,21,89000,Female,Divorced,Master,Yes,66213,1
361,Customer_361,51,57000,Female,Single,Bachelor,Yes,97178,5
362,Customer_362,63,89000,Female,Single,Bachelor,No,23141,5
363,Customer_363,35,34000,Male,Married,High School,Yes,39097,2
364,Customer_364,58,119000,Male,Divorced,PhD,No,45078,3
365,Customer_365,40,48000,Male,Single,High School,Yes,53614,1
366,Customer_366,21,103000,Female,Single,PhD,No,46745,1
367,Customer_367,28,124000,Female,Single,High School,No,91163,2
368,Customer_368,58,57000,Female,Single,PhD,Yes,44381,5
369,Customer_369,25,52000,Male,Married,PhD,Yes,56403,2
370,Customer_370,43,117000,Female,Married,PhD,Yes,23583,1
371,Customer_371,22,113000,Female,Divorced,Master,Yes,90946,3
372,Customer_372,50,111000,Female,Single,PhD,No,21182,5
373,Customer_373,24,87000,Male,Single,High School,No,13094,3
374,Customer_374,62,130000,Female,Married,PhD,Yes,27541,4
375,Customer_375,18,37000,Female,Divorced,Master,Yes,50231,3
376,Customer_376,41,77000,Female,Single,High School,No,17635,2
377,Customer_377,28,72000,Female,Single,High School,No,91699,3
378,Customer_378,64,136000,Male,Single,High School,Yes,72110,1
379,Customer_379,27,33000,Male,Single,High School,Yes,90758,4
380,Customer_380,48,88000,Male,Married,High School,No,52170,2
381,Customer_381,32,37000,Male,Married,PhD,Yes,15952,1
382,Customer_382,24,158000,Male,Married,Master,Yes,86975,4
383,Customer_383,32,125000,Female,Single,High School,No,53504,1
384,Customer_384,26,28000,Male,Single,High School,No,23145,5
385,Customer_385,36,106000,Female,Married,Bachelor,No,95711,5
386,Customer_386,51,148000,Male,Married,High School,Yes,17255,2
387,Customer_387,30,109000,Male,Single,High School,Yes,17412,4
388,Customer_388,52,22000,Male,Single,PhD,No,24612,4
389,Customer_389,58,54000,Female,Married,High School,Yes,49059,4
390,Customer_390,25,80000,Female,Divorced,PhD,No,84520,5
391,Customer_391,34,78000,Female,Divorced,Master,Yes,54344,1
392,Customer_392,51,29000,Female,Single,Master,No,49303,5
393,Customer_393,18,69000,Female,Single,PhD,No,14119,3
394,Customer_394,56,91000,Female,Divorced,PhD,No,45299,5
395,Customer_395,20,72000,Male,Married,Master,Yes,65234,2
396,Customer_396,66,105000,Male,Single,PhD,No,77425,4
397,Customer_397,56,76000,Female,Single,Master,No,37779,5
398,Customer_398,28,132000,Female,Married,PhD,No,31301,1
399,Customer_399,50,162000,Male,Single,High School,Yes,49211,5
400,Customer_400,27,105000,Female,Married,PhD,No,34578,3
401,Customer_401,44,161000,Female,Divorced,Bachelor,Yes,98252,2
402,Customer_402,31,30000,Female,Divorced,Bachelor,Yes,52302,5
403,Customer_403,72,96000,Female,Married,Master,Yes,98077,1
404,Customer_404,72,50000,Female,Divorced,Bachelor,Yes,48730,2
405,Customer_405,66,120000,Female,Single,Bachelor,Yes,10465,5
406,Customer_406,50,49000,Male,Single,PhD,No,14689,3
407,Customer_407,68,109000,Female,Single,PhD,Yes,37896,5
408,Customer_408,24,51000,Male,Divorced,PhD,Yes,16630,4
409,Customer_409,30,94000,Male,Divorced,High School,No,40120,2
410,Customer_410,65,87000,Female,Married,Master,Yes,57497,4
411,Customer_411,47,125000,Female,Single,PhD,Yes,92729,3
412,Customer_412,53,90000,Female,Married,High School,Yes,43956,1
413,Customer_413,74,61000,Female,Single,Bachelor,No,80289,2
414,Customer_414,30,110000,Male,Divorced,Bachelor,No,59008,2
415,Customer_415,19,76000,Female,Single,High School,Yes,99821,3
416,Customer_416,70,86000,Female,Divorced,PhD,Yes,61931,3
417,Customer_417,50,87000,Male,Single,PhD,No,10698,1
418,Customer_418,43,85000,Female,Divorced,Bachelor,Yes,53210,1
419,Customer_419,20,168000,Female,Divorced,High School,No,36683,4
420,Customer_420,57,64000,Female,Married,Master,No,88841,3
421,Customer_421,39,43000,Female,Single,Master,Yes,69145,3
422,Customer_422,36,79000,Male,Divorced,PhD,No,23362,4
423,Customer_423,50,29000,Male,Single,High School,Yes,22730,1
424,Customer_424,17,66000,Male,Married,PhD,No,68686,5
425,Customer_425,45,39000,Male,Married,High School,Yes,72999,3
426,Customer_426,19,101000,Male,Divorced,PhD,Yes,70968,2
427,Customer_427,49,178000,Male,Divorced,High School,No,25941,1
428,Customer_428,52,88000,Male,Married,PhD,Yes,38682,1
429,Customer_429,48,130000,Male,Single,Bachelor,No,50540,4
430,Customer_430,45,151000,Male,Married,Master,No,21290,3
431,Customer_431,60,79000,Male,Married,High School,Yes,88972,2
432,Customer_432,24,92000,Female,Married,PhD,Yes,48382,3
433,Customer_433,20,125000,Female,Married,High School,Yes,23198,1
434,Customer_434,70,111000,Male,Married,PhD,Yes,11014,4
435,Customer_435,31,105000,Female,Single,High School,No,48819,3
436,Customer_436,51,116000,Male,Single,High School,No,71284,2
437,Customer_437,56,101000,Male,Divorced,Master,No,71838,3
438,Customer_438,25,97000,Male,Married,High School,Yes,25941,4
439,Customer_439,57,90000,Female,Married,High School,No,57060,1
440,Customer_440,23,53000,Male,Divorced,PhD,Yes,70120,5
